Date,Day,Simple Cluster,Cluster,Open,High,Low,Close,O - C (D),O - H (D),O - L (D),C - O (D-1)
23/3/18,Friday,Choppy,Choppy,9968.8,10027.7,9951.9,9998.05,0.29,0.59,-0.17,-1.44
26/3/18,Monday,Rally,Rally,9989.15,10143.5,9958.55,10130.65,1.42,1.55,-0.31,-0.09
27/3/18,Tuesday,Choppy,Choppy,10188,10207.9,10139.65,10184.15,-0.04,0.20,-0.47,0.57
28/3/18,Wednesday,Choppy,Choppy,10143.6,10158.35,10096.9,10113.7,-0.29,0.15,-0.46,-0.40
2/4/18,Monday,Rally,Rally,10151.65,10220.1,10127.75,10211.8,0.59,0.67,-0.24,0.38
3/4/18,Tuesday,Rally,Crash-Rally,10186.85,10255.35,10171.05,10245,0.57,0.67,-0.16,-0.24
4/4/18,Wednesday,Crash,Flat-Crash,10274.6,10279.85,10111.3,10128.4,-1.42,0.05,-1.59,0.29
5/4/18,Thursday,Rally,Rally,10228.45,10331.8,10227.45,10325.15,0.95,1.01,-0.01,0.99
6/4/18,Friday,Choppy,Choppy,10322.75,10350.45,10290.85,10331.6,0.09,0.27,-0.31,-0.02
9/4/18,Monday,Choppy,Choppy,10333.7,10397.7,10328.5,10379.35,0.44,0.62,-0.05,0.02
10/4/18,Tuesday,Choppy,Choppy,10412.9,10424.85,10381.5,10402.25,-0.10,0.11,-0.30,0.32
11/4/18,Wednesday,Crash-Rally,Crash-Rally,10428.15,10428.15,10355.6,10417.15,-0.11,0.00,-0.70,0.25
12/4/18,Thursday,Rally,Rally,10410.65,10469.9,10395.25,10458.65,0.46,0.57,-0.15,-0.06
13/4/18,Friday,Rally-Crash,Rally-Crash,10495.3,10519.9,10451.45,10480.6,-0.14,0.23,-0.42,0.35
16/4/18,Monday,Rally,Rally,10398.3,10540.15,10396.35,10528.35,1.25,1.36,-0.02,-0.79
17/4/18,Tuesday,Crash-Rally,Crash-Rally,10557.3,10560.45,10495.65,10548.7,-0.08,0.03,-0.58,0.27
18/4/18,Wednesday,Rally-Crash,Rally-Crash,10578.9,10594.2,10509.7,10526.2,-0.50,0.14,-0.65,0.29
19/4/18,Thursday,Choppy,Choppy,10563.65,10572.2,10546.2,10565.3,0.02,0.08,-0.17,0.36
20/4/18,Friday,Choppy,Choppy,10560.35,10582.35,10527.45,10564.05,0.04,0.21,-0.31,-0.05
23/4/18,Monday,Rally,Rally,10592.8,10638.35,10514.95,10584.7,-0.08,0.43,-0.73,0.27
24/4/18,Tuesday,Rally,Crash-Rally,10578.1,10636.8,10569,10614.35,0.34,0.55,-0.09,-0.06
25/4/18,Wednesday,Crash,Flat-Crash,10612.4,10612.6,10536.45,10570.55,-0.39,0.00,-0.72,-0.02
